"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2012","1,932.20","1,928.55","1,934.40","1,912.35","","-0.01%"
"04/23/2012","1,932.40","1,962.15","1,971.30","1,927.90","","-1.58%"
"04/20/2012","1,963.35","1,963.45","1,976.75","1,950.65","","-0.11%"
"04/19/2012","1,965.45","1,957.35","1,970.35","1,952.20","","0.81%"
"04/18/2012","1,949.70","1,944.50","1,959.40","1,944.50","","0.62%"
"04/17/2012","1,937.60","1,924.45","1,941.05","1,916.15","","1.11%"
"04/16/2012","1,916.25","1,915.05","1,923.60","1,911.35","","-0.02%"
"04/13/2012","1,916.60","1,917.20","1,944.20","1,912.90","","0.21%"
"04/12/2012","1,912.60","1,897.90","1,914.85","1,897.90","","0.94%"
"04/11/2012","1,894.85","1,896.55","1,910.90","1,889.35","","-0.44%"
"04/10/2012","1,903.30","1,894.50","1,906.35","1,885.60","","0.77%"
"04/09/2012","1,888.75","1,900.65","1,902.85","1,886.45","","-0.91%"
"04/04/2012","1,906.10","1,918.00","1,921.00","1,903.55","","-0.77%"
"04/03/2012","1,920.85","1,924.40","1,928.30","1,918.15","","0.17%"
"04/02/2012","1,917.60","1,915.60","1,922.25","1,910.00","","0.30%"
"03/30/2012","1,911.85","1,886.55","1,914.70","1,886.55","","1.75%"
"03/29/2012","1,878.95","1,864.30","1,887.05","1,857.10","","0.23%"
"03/28/2012","1,874.70","1,882.70","1,885.80","1,865.90","","-0.40%"
"03/27/2012","1,882.25","1,875.45","1,889.90","1,868.55","","0.89%"
"03/26/2012","1,865.70","1,888.50","1,888.70","1,861.60","","-1.09%"
"03/23/2012","1,886.25","1,869.80","1,892.80","1,858.45","","1.09%"
"03/22/2012","1,866.00","1,902.10","1,911.80","1,858.90","","-1.85%"
"03/21/2012","1,901.20","1,873.70","1,903.75","1,870.65","","1.47%"
